ratio	score	dataset	model	run_phase	path
0.880606	0.290600	KuaiRecLargeStrictPosV2_0.2	DIFSR	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MDIFSR_P027_C1_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_DIFSR_pair60_v4_dkuaireclargestrictposv2_0_2_mdifsr_p027_c1_s1_20260415_070146_892462_pid1159837.json
0.881212	0.290800	KuaiRecLargeStrictPosV2_0.2	FAME	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFAME_P028_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FAME_pair60_v4_dkuaireclargestrictposv2_0_2_mfame_p028_c2_s1_20260415_070633_826766_pid1160239.json
0.883314	0.151400	foursquare	DuoRec	PAIR60_V4_DFOURSQUARE_MDUOREC_P034_C2_S1	experiments/run/artifacts/results/baseline_2/foursquare_DuoRec_pair60_v4_dfoursquare_mduorec_p034_c2_s1_20260415_072723_536884_pid1162283.json
0.892033	0.274300	lastfm0.03	DuoRec	PAIR60_V4_DLASTFM0_03_MDUOREC_P054_C1_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_DuoRec_pair60_v4_dlastfm0_03_mduorec_p054_c1_s1_20260415_094802_087786_pid1176817.json
0.893333	0.274700	lastfm0.03	FDSA	PAIR60_V4_DLASTFM0_03_MFDSA_P059_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FDSA_pair60_v4_dlastfm0_03_mfdsa_p059_c2_s1_20260415_103750_539524_pid1181288.json
0.893333	0.294800	KuaiRecLargeStrictPosV2_0.2	FDSA	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFDSA_P029_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FDSA_pair60_v4_dkuaireclargestrictposv2_0_2_mfdsa_p029_c2_s1_20260415_070904_751108_pid1160436.json
0.895197	0.061500	movielens1m	FAME	PAIR60_V4_DMOVIELENS1M_MFAME_P048_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FAME_pair60_v4_dmovielens1m_mfame_p048_c1_s1_20260415_084416_221863_pid1174052.json
0.895197	0.061500	movielens1m	FeaturedMoE_N3	PAIR60_V4_DMOVIELENS1M_MFEATURED_MOE_N3_P050_C1_S1	experiments/run/artifacts/results/baseline_2/movielens1m_FeaturedMoE_N3_pair60_v4_dmovielens1m_mfeatured_moe_n3_p050_c1_s1_20260415_090032_679250_pid1176630.json
0.896330	0.334600	retail_rocket	TiSASRec	PAIR60_V4_DRETAIL_ROCKET_MTISASREC_P013_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_TiSASRec_pair60_v4_dretail_rocket_mtisasrec_p013_c1_s1_20260415_051642_266030_pid1147058.json
0.899394	0.296800	KuaiRecLargeStrictPosV2_0.2	FeaturedMoE_N3	PAIR60_V4_DKUAIRECLARGESTRICTPOSV2_0_2_MFEATURED_MOE_N3_P030_C2_S1	experiments/run/artifacts/results/baseline_2/KuaiRecLargeStrictPosV2_0.2_FeaturedMoE_N3_pair60_v4_dkuaireclargestrictposv2_0_2_mfeatured_moe_n3_p030_c2_s1_20260415_071132_804540_pid1160639.json
0.903394	0.069200	beauty	FEARec	PAIR60_V4_DBEAUTY_MFEAREC_P006_C2_S1	experiments/run/artifacts/results/baseline_2/beauty_FEARec_pair60_v4_dbeauty_mfearec_p006_c2_s1_20260415_051128_587530_pid1145798.json
0.917755	0.070300	beauty	FDSA	PAIR60_V4_DBEAUTY_MFDSA_P009_C1_S1	experiments/run/artifacts/results/baseline_2/beauty_FDSA_pair60_v4_dbeauty_mfdsa_p009_c1_s1_20260415_051228_731454_pid1146088.json
0.919368	0.343200	retail_rocket	DuoRec	PAIR60_V4_DRETAIL_ROCKET_MDUOREC_P014_C2_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_DuoRec_pair60_v4_dretail_rocket_mduorec_p014_c2_s1_20260415_051725_051432_pid1147186.json
0.921779	0.344100	retail_rocket	DuoRec	PAIR60_V4_DRETAIL_ROCKET_MDUOREC_P014_C1_S1	experiments/run/artifacts/results/baseline_2/retail_rocket_DuoRec_pair60_v4_dretail_rocket_mduorec_p014_c1_s1_20260415_051724_556723_pid1147185.json
0.922927	0.283800	lastfm0.03	FEARec	PAIR60_V4_DLASTFM0_03_MFEAREC_P056_C2_S1	experiments/run/artifacts/results/baseline_2/lastfm0.03_FEARec_pair60_v4_dlastfm0_03_mfearec_p056_c2_s1_20260415_100824_091778_pid1176921.json
